I	M	N	T
12.2	11.7	5.2	12.5
12.2	12.5	5.2	12.5
12.2	12.5	5.2	12.5
12.2	12.5	5.2	12.5
12.2	13	5.2	12.7
12.2	13.5	5.2	12.7
12.2	13.6	5.2	12.7
12.2	13.6	5.2	12.7
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.3	12.8
12.2	13.6	5.4	12.8
12.3	13.6	5.4	12.8
12.3	13.6	5.4	12.8
12.3	13.6	5.4	12.8
12.3	13.6	5.4	12.8
12.3	13.6	5.4	4.2
12.3	13.6	5.4	7
12.4	13.6	5.4	10.9
12.4	13.6	5.4	12
12.4	13.6	5.3	12.7
12.4	13	5.3	12.7
12.4	13	5.4	11.5
12.4	13	3.4	11.6
13.7	13	4.5	11.7
13.7	13	4.5	11.8
13.9	13	4.5	11.8
13.9	13	4.5	11.8
13.9	13	4.6	11.8
13.9	13	4.6	11.6
14	13	4.6	12.1
14	12.8	4.6	12.1
14	12.9	4.6	12.1
14	12.9	4.6	12.1
14	12.9	4.6	12.1
14	12.9	4.6	12.1
13.7	12.9	4.6	12.1
13.7	12.9	4.7	12.1
14	12.9	4.7	12.1
14.1	12.9	4.7	12.1
16.9	12.9	4.7	12.1
14.9	12.5	4.7	12.1
14.9	12.5	4.7	12.1
14.9	12.5	4.7	12.1
15	12.5	4.7	12.1
14.9	12.5	4.7	12.1
15	12.5	4.7	12.1
15	5.3	4.7	12.1
15	5.5	4.7	12.1
15	7.4	4.7	12.1
15	10.3	4.7	12.1
15	11.8	4.7	12.1
15	12	4.7	12.1
15	12.1	4.7	12.1
15	12.1	4.7	12.2
15	12.1	4.7	12.2
15	12.2	4.7	12.2
15.4	12.2	4.7	12.2
15.6	12.2	4.7	12.2
15.6	12.2	4.7	12.2
15.6	12.2	4.7	12.2
15.6	12.2	4.7	12.2
15.6	12.2	4.7	12.2
4	12.2	4.7	12.2
7.6	12.2	4.7	12.2
8.9	12.2	4.7	12.2
10.7	12.2	4.7	12.2
11.2	12.2	4.7	12.2
11.8	12.2	4.7	12.2
12.4	12.2	4.7	12.2
12.4	12.2	4.8	12.2
12.4	12.2	4.8	12.2
12.4	12.2	4.8	12.2
12.5	12.2	4.8	12.2
12.5	12.2	4.9	12.2
12.5	12.2	4.9	12.2
12.5	12.2	4.9	12.2
12.5	12.2	4.9	12.2
12.5	12.2	4.9	12.2
12.6	12.2	4.9	12.2
12.6	12.2	4.9	12.2
12.6	11.4	4.9	12.2
12.6	11.4	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
12.6	11.8	4.9	12.2
11.1	11.7	4.9	12.2
11.1	11.8	4.9	12.2
11.1	11.8	4.9	12.2
11.1	11.8	4.9	12.2
11.1	11.8	4.9	12.2
11.1	11.8	4.9	12.2
11.1	11.8	5	12.2
11.1	11.8	5.2	12.2
11.3	11.8	5.2	12.2
11.6	11.8	5.2	12.2
11.7	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.2	12.2
11.8	11.8	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.3	12.2
11.8	11.9	5.4	12.2
11.8	11.9	5.4	12.2
11.8	12.1	5.4	12.2
11.8	12	5.4	12.2
12	12	5.4	12.2
11.7	12.7	5.4	12.2
11.9	12.6	5.4	12.2
11.9	12.7	5.4	12.2
11.9	12.7	5.4	12.2
11.9	12.6	5.4	12.2
12	12.6	5.4	12.2
12	12.6	5.4	12.2
12	12.7	4.5	12.2
12	13	4.5	12.2
12	13	4.6	12.2
12	13	4.6	12.2
12.1	13	4.6	12.2
12.1	13	4.6	12.2
12	13	4.6	12.2
12	13	4.6	12.2
12	13	4.7	12.2
12	13	4.7	12.2
12	13	4.7	12.2
12.1	13	4.7	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	13	4.8	12.2
12.1	3.3	4.8	12.2
12.1	5.5	4.8	12.2
12.1	6.7	4.8	12.2
12.1	9.2	4.8	12.2
12.1	11.3	4.8	12.2
12.1	11.7	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.8	12.2
12.1	12	4.9	12.2
